Japanese,English
にんげん - ningen,Human beings
じんるい - jinrui,Mankind
ひと - hito,People
おとこ - otoko,man
おとこのひと - otokonohito,man
おとこのこ - otokonoko,boy
おんな - onna,Woman
おんなのひと - onnanohito,Lady
おんなのこ - onnanoko,girl
あかちゃん - akachan,Baby
わかもの - wakamono,Youth
わたし - watashi,I
わたくし - watakushi,Watakushi
ぼく - boku,I
おれ - ore,I
あたし - atashi,I
しょうじょ - shoujo,Little girl
しょうねん - shounen,boy
いしゃ - isha,Doctor
かんごし - kangoshi,nurse
かんごふ - kangofu,Nurse
はいしゃ - ha-isha,Dentist
しかい - shikai,Chairmanship
せいじか - seijika,politician
べんごし - bengoshi,Lawyer
しょうぼうし - shouboushi,To fire
けいさつかん - keisatsukan,Police officer
へいし - heishi,Soldier
けんちくか - kenchikuka,Architect
せんせい - sensei,Teacher
きょうし - kyoushi,Teacher
かしゅ - kashu,Singer
エンジニア - enjinia,Engineer
あし - ashi,Legs
かかと - kakato,Heel
すね - sune,The shins
ひざ - hiza,Knee
もも - momo,Peaches
あたま - atama,Head
かお - kao,Face
くち - kuchi,Mouth
くちびる - kuchibiru,Lips
は - ha,It is
はな - hana,Flower
め - me,Because
ひげ - hige,Beard
かみ - kami,God
みみ - mimi,Ear
い - i,Have
うで - ude,Arm
ひじ - hiji,Elbow
かた - kata,Hardness
つめ - tsume,Claw
て - te,hand
てくび - tekubi,Wrist
てのひら - te-no-hira,Palm
ゆび - yubi,Finger
しり - shiri,Behind
おなか - o-naka,Stomach
はら - hara,Original
かんぞう - kanzō,Liver
きも - kimo,Liver
きんにく - kin'niku,Muscle
くび - kubi,Neck
こころ - kokoro,Heart
こし - koshi,Strained
しんぞう - shinzō,Shinzo
せなか - senaka,Back
ち - chi,Chi
にく - niku,Difficulty
はだ - hada,Skin
ひふ - hifu,Skin
ほね - hone,Bone
むね - mune,Breast
かぜ - kaze,Wind
げり - geri,Diarrhea
びょうき - byōki,Disease
かぞく - kazoku,Family
りょうしん - ryoushin,Parents
こども - kodomo,Children
"ちち - chichi, otou-san",Father
"はは - haha, okaa-san",my mother
つま - tsuma,In other words
おっと - otto,Husband
"あに - ani, onī-san",Brother
"あね - ane, onē-san",Sister
おとうと - otōto,Younger brother
いもうと - imōto,Sister
きょうだい - kyōdai,siblings
しまい - shimai,Sisters
"そふ - sofu, ojii-san",Grandfather
"そぼ - sobo, obaa-san",Grandmother
まご - mago,Grandson
"おじ - oji, oji-san",uncle
"おば - oba, oba-san",Aunt
いとこ - itoko,cousin
めい - mei,A niece
おい - oi,Hey
いきもの - ikimono,living things
ばけもの - bakemono,monster
どうぶつ - dōbutsu,Animal
チーター - chītā,Cheetah
いぬ - inu,Dog
ねこ - neko,Cat
うし - ushi,Cow
ぶた - buta,Pigs
うま - uma,Horse
ひつじ - hitsuji,sheep
さる - saru,Monkey
ねずみ - nezumi,mouse
とら - tora,Tiger
オオカミ - ōkami,Wolf
うさぎ - usagi,Rabbit
"りゅう、 たつ - ryū, tatsu","Flow, stand"
しか - shika,Only
かえる - kaeru,Frog
がま - gama,Frog
しし - shishi,Lion
キリン - kirin,Giraffe
ぞう - zō,Elephants
とり - tori,Take
にわとり - niwatori,Chickens
すずめ - suzume,Sparrow
からす - karasu,Crow
わし - washi,"eagle, I"
たか - taka,Falcon
さかな - sakana,Fish
たい - tai,Want
えび - ebi,Shrimp
いわし - iwashi,Sardine
